states,crop1,crop2,crop3,crop4,crop5,crop6,crop7,crop8,crop9
Andaman and Nicobar,Coconut,Banana,Areca nut,betelnut,banana,pulses,pineapple,mango,cashewnut
Andra Pradesh,Rice,cotton,Groundnut,chilli,cotton,mango,tomato,brinjal,okra
Arunachal Pradesh,Rice,Maize,Millets,ginger,orange,chilli,cucumber,pineapple,bittergourd
Assam,rice,jute,Tea,mustard,sugarcane,"pulses,",orange,turmeric,ginger
Bihar,Rice,Wheat,Maize,Sugarcane,pulses,lentils,barley,mustard,turmeric
Chandigarh,Wheat,Maize,rice,Tomatoes,Potatoes,barley,mustard,sugarcane,groundnut
Chhattisgarh,Rice,Maize,Pigeon pea,Groundnut,sunflowercotton,,turmeric,ginger,tomato
Dadar and Nagar Haveli,Rice,green gram,Sugarcane,bajra,maize,jowar,groundnut,cabbage,banana
Daman and Diu,Rice,green gram,Coconut,maize,Sugarcane,bajra,jowar,Brinjal,groundnut
Delhi,Wheat,Rice,Green gram,Potatoes,banana,maize,mustard,barley,jowar
Goa,Rice,Coconut,Cashew nut,pulses,maize,mango,okra,watermelon,cucumber
Gujarat,wheat,pulses,cotton,groundnut,rice,maize,sesame,turmeric,potato
Haryana,Wheat,barley,mustard,grams,rice,jowar,cotton,maize,potato
Himachal Pradesh,potatoes,wheat,barley,apples,maize,rice,pulses,ginger,turmeric
Jammu and Kashmir,Apples,potatoes,Saffron,Rice,maize,pulses,rapeseed-mustard,,almonds
Jharkhand,Paddy,Maize,maize,Arhar,Sunflower,brinjal,sugarcane,coconut,groundnut
Karnataka,ragi,jowar,groundnut,maize,rice,sugarcane,cotton,coconut,turmeric
Kerala,Coconut,Rubber,rice,Pepper,ginger,turmeric,banana,cashewnut,cardamom
Lakshadweep,Coconut,Tapioca,Banana,Sweet potatoes,pulses,pumpkin,millet,pineapple,watermelon
Madya Pradesh,Soybean,Wheat,Chickpea,Paddy,soyabean,jowar,maize,guava,guava
Maharashtra,sugarcane,cotton,grape,orange,tomato,onion,rice,wheat,maize
Manipur,rice,maize,pulses,ginger,turmeric,chilli,potatoes,bananas,pineapples
Meghalaya,rice,maize,potatoes,pulses,ginger,turmeric,chilli,bananas,pineapples
Mizoram,rice,maize,pulses,ginger,turmeric,chilli,potatoes,bananas,pineapples
Nagaland,rice,maize,pulses,ginger,turmeric,chilli,potatoes,bananas,pineapples
Orissa,rice,paddy,maize,pulses,groundnut,coconut,cashewnut,sugarcane,turmeric
Puducherry,rice,coconut,banana,tapioca,pulses,vegetables,millet,pineapple,mango
Punjab,wheat,rice,mustard,barley,maize,cotton,sugarcane,vegetables,pulses
Rajasthan,wheat,barley,mustard,groundnut,sesame,pulses,maize,cotton,sugarcane
Sikkim,rice,maize,pulses,ginger,turmeric,chilli,cardamom,orange,apple
Tamil Nadu,rice,sugarcane,banana,coconut,turmeric,groundnut,chillies,mango,coffee
Telangana,Rice,cotton,chilli,mango,maize,turmeric,tomato,sugarcane,groundnut
Tripura,rice,maize,pulses,ginger,turmeric,chilli,potatoes,bananas,pineapples
Uttarakhand,rice,wheat,maize,pulses,barley,millet,potatoes,apples,peaches
Uttar Pradesh,wheat,rice,sugarcane,maize,pulses,barley,mustard,cotton,potatoes
West Bengal,rice,jute,sugarcane,pulses,maize,mustard,turmeric,brinjal,papaya
